Name & Date,Features,Price,Miles
2023 Kia Sportage,EX 4dr SUV,"$27,590","5,876 miles"
2024 Nissan Altima,2.5 SV Sedan,"$20,899","18,858 miles"
2024 Chevrolet Malibu,1LT Sedan,"$19,999","22,544 miles"
2020 Dodge Grand Caravan,SXT Passenger Minivan,"$13,999","94,366 miles"
2024 Ford Escape,ST-Line 4dr SUV,"$22,990","20,417 miles"
2024 Chevrolet Malibu,1LT Sedan,"$19,999","20,128 miles"
2020 MINI Countryman,Cooper S Wagon,"$19,990","54,890 miles"
2023 Ford Edge,ST-Line 4dr SUV,"$20,590","37,820 miles"
2023 Ford F-150,Lariat SuperCrew,"$52,590","10,262 miles"
2019 BMW 2 Series,230i xDrive Convertible,"$25,590","51,679 miles"
2024 Dodge Durango,SXT 4dr SUV,"$29,590","17,152 miles"
2024 Ford Escape,Active 4dr SUV,"$21,990","17,745 miles"
2021 Chevrolet Malibu,LT Sedan,"$16,699","65,424 miles"
2023 Cadillac CT5,Premium Luxury Sedan,"$31,590","21,159 miles"
2021 Nissan Versa,SV Sedan,"$15,199","68,642 miles"
2022 Ford Edge,ST-Line 4dr SUV,"$18,590","63,194 miles"
2024 Mercedes-Benz GLC-Class,GLC 300 4MATIC 4dr SUV,"$39,590","13,466 miles"
2020 Porsche Macan,Base 4dr SUV,"$39,990","20,597 miles"
2024 GMC Terrain,SLT 4dr SUV,"$25,990","14,751 miles"
2023 Mercedes-Benz EQE,EQE 500 4MATIC Sedan,"$51,990","6,449 miles"
2024 Mercedes-Benz GLS-Class,GLS 450 4MATIC 4dr SUV,"$76,990","7,985 miles"
2022 Dodge Challenger,R/T Coupe,"$27,000","24,917 miles"
2019 Ram 2500,Limited Mega Cab,"$43,900","69,526 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,498","54,229 miles"
Certified 2022 Toyota Tacoma,TRD Off Road Double Cab,"$37,998","35,002 miles"
Certified 2022 Toyota Corolla,LE Sedan,"$17,385","59,014 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,499","49,865 miles"
Certified 2022 Toyota RAV4,XLE 4dr SUV,"$24,452","57,579 miles"
Certified 2023 Chevrolet Tahoe,High Country 4dr SUV,"$57,500","57,682 miles"
2025 Ram 1500,Rebel Crew Cab,"$54,400","2,937 miles"
2024 Chevrolet Silverado 2500HD,LT Crew Cab,"$56,500","14,153 miles"
2020 Chevrolet Colorado,LT Crew Cab,"$21,500","111,667 miles"
2022 Chevrolet Silverado 1500 Limited,Custom Crew Cab,"$28,995","44,775 miles"
2019 Mercedes-Benz Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof","$29,990","32,142 miles"
2013 Dodge Grand Caravan,SE Passenger Minivan,"$9,485","74,752 miles"
2025 Chevrolet Silverado 1500,Custom Crew Cab,"$35,608","5,178 miles"
2019 Cadillac Escalade ESV,Base 4dr SUV,"$25,238","87,327 miles"
2007 Ford Escape,XLT 4dr SUV,"$3,999","146,110 miles"
2019 Tesla Model S,75D Sedan w/Prod. End 1/19,"$27,789","52,029 miles"
2020 Maserati Ghibli,S Sedan,"$32,889","6,317 miles"
2022 Ford F-150,XLT SuperCab,"$31,492","26,317 miles"
2020 Audi A6,Prestige Sedan w/55 TFSI,"$27,700","58,543 miles"
2022 Dodge Challenger,R/T Coupe,"$27,000","24,917 miles"
2019 Ram 2500,Limited Mega Cab,"$43,900","69,526 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,498","54,229 miles"
Certified 2022 Toyota Tacoma,TRD Off Road Double Cab,"$37,998","35,002 miles"
Certified 2022 Toyota Corolla,LE Sedan,"$17,385","59,014 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,499","49,865 miles"
Certified 2022 Toyota RAV4,XLE 4dr SUV,"$24,452","57,579 miles"
Certified 2023 Chevrolet Tahoe,High Country 4dr SUV,"$57,500","57,682 miles"
2025 Ram 1500,Rebel Crew Cab,"$54,400","2,937 miles"
2024 Chevrolet Silverado 2500HD,LT Crew Cab,"$56,500","14,153 miles"
2020 Chevrolet Colorado,LT Crew Cab,"$21,500","111,667 miles"
2022 Chevrolet Silverado 1500 Limited,Custom Crew Cab,"$28,995","44,775 miles"
2019 Mercedes-Benz Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof","$29,990","32,142 miles"
2013 Dodge Grand Caravan,SE Passenger Minivan,"$9,485","74,752 miles"
2025 Chevrolet Silverado 1500,Custom Crew Cab,"$35,608","5,178 miles"
2019 Cadillac Escalade ESV,Base 4dr SUV,"$25,238","87,327 miles"
2007 Ford Escape,XLT 4dr SUV,"$3,999","146,110 miles"
2019 Tesla Model S,75D Sedan w/Prod. End 1/19,"$27,789","52,029 miles"
2020 Maserati Ghibli,S Sedan,"$32,889","6,317 miles"
2022 Ford F-150,XLT SuperCab,"$31,492","26,317 miles"
2020 Audi A6,Prestige Sedan w/55 TFSI,"$27,700","58,543 miles"
2022 Dodge Challenger,R/T Coupe,"$27,000","24,917 miles"
2019 Ram 2500,Limited Mega Cab,"$43,900","69,526 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,498","54,229 miles"
Certified 2022 Toyota Tacoma,TRD Off Road Double Cab,"$37,998","35,002 miles"
Certified 2022 Toyota Corolla,LE Sedan,"$17,385","59,014 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,499","49,865 miles"
Certified 2022 Toyota RAV4,XLE 4dr SUV,"$24,452","57,579 miles"
Certified 2023 Chevrolet Tahoe,High Country 4dr SUV,"$57,500","57,682 miles"
2025 Ram 1500,Rebel Crew Cab,"$54,400","2,937 miles"
2024 Chevrolet Silverado 2500HD,LT Crew Cab,"$56,500","14,153 miles"
2020 Chevrolet Colorado,LT Crew Cab,"$21,500","111,667 miles"
2022 Chevrolet Silverado 1500 Limited,Custom Crew Cab,"$28,995","44,775 miles"
2019 Mercedes-Benz Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof","$29,990","32,142 miles"
2013 Dodge Grand Caravan,SE Passenger Minivan,"$9,485","74,752 miles"
2025 Chevrolet Silverado 1500,Custom Crew Cab,"$35,608","5,178 miles"
2019 Cadillac Escalade ESV,Base 4dr SUV,"$25,238","87,327 miles"
2007 Ford Escape,XLT 4dr SUV,"$3,999","146,110 miles"
2019 Tesla Model S,75D Sedan w/Prod. End 1/19,"$27,789","52,029 miles"
2020 Maserati Ghibli,S Sedan,"$32,889","6,317 miles"
2022 Ford F-150,XLT SuperCab,"$31,492","26,317 miles"
2020 Audi A6,Prestige Sedan w/55 TFSI,"$27,700","58,543 miles"
2022 Dodge Challenger,R/T Coupe,"$27,000","24,917 miles"
2019 Ram 2500,Limited Mega Cab,"$43,900","69,526 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,498","54,229 miles"
Certified 2022 Toyota Tacoma,TRD Off Road Double Cab,"$37,998","35,002 miles"
Certified 2022 Toyota Corolla,LE Sedan,"$17,385","59,014 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,499","49,865 miles"
Certified 2022 Toyota RAV4,XLE 4dr SUV,"$24,452","57,579 miles"
Certified 2023 Chevrolet Tahoe,High Country 4dr SUV,"$57,500","57,682 miles"
2025 Ram 1500,Rebel Crew Cab,"$54,400","2,937 miles"
2024 Chevrolet Silverado 2500HD,LT Crew Cab,"$56,500","14,153 miles"
2020 Chevrolet Colorado,LT Crew Cab,"$21,500","111,667 miles"
2022 Chevrolet Silverado 1500 Limited,Custom Crew Cab,"$28,995","44,775 miles"
2019 Mercedes-Benz Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof","$29,990","32,142 miles"
2013 Dodge Grand Caravan,SE Passenger Minivan,"$9,485","74,752 miles"
2025 Chevrolet Silverado 1500,Custom Crew Cab,"$35,608","5,178 miles"
2019 Cadillac Escalade ESV,Base 4dr SUV,"$25,238","87,327 miles"
2007 Ford Escape,XLT 4dr SUV,"$3,999","146,110 miles"
2019 Tesla Model S,75D Sedan w/Prod. End 1/19,"$27,789","52,029 miles"
2020 Maserati Ghibli,S Sedan,"$32,889","6,317 miles"
2022 Ford F-150,XLT SuperCab,"$31,492","26,317 miles"
2020 Audi A6,Prestige Sedan w/55 TFSI,"$27,700","58,543 miles"
2022 Dodge Challenger,R/T Coupe,"$27,000","24,917 miles"
2019 Ram 2500,Limited Mega Cab,"$43,900","69,526 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,498","54,229 miles"
Certified 2022 Toyota Tacoma,TRD Off Road Double Cab,"$37,998","35,002 miles"
Certified 2022 Toyota Corolla,LE Sedan,"$17,385","59,014 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,499","49,865 miles"
Certified 2022 Toyota RAV4,XLE 4dr SUV,"$24,452","57,579 miles"
Certified 2023 Chevrolet Tahoe,High Country 4dr SUV,"$57,500","57,682 miles"
2025 Ram 1500,Rebel Crew Cab,"$54,400","2,937 miles"
2024 Chevrolet Silverado 2500HD,LT Crew Cab,"$56,500","14,153 miles"
2020 Chevrolet Colorado,LT Crew Cab,"$21,500","111,667 miles"
2022 Chevrolet Silverado 1500 Limited,Custom Crew Cab,"$28,995","44,775 miles"
2019 Mercedes-Benz Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof","$29,990","32,142 miles"
2013 Dodge Grand Caravan,SE Passenger Minivan,"$9,485","74,752 miles"
2025 Chevrolet Silverado 1500,Custom Crew Cab,"$35,608","5,178 miles"
2019 Cadillac Escalade ESV,Base 4dr SUV,"$25,238","87,327 miles"
2007 Ford Escape,XLT 4dr SUV,"$3,999","146,110 miles"
2019 Tesla Model S,75D Sedan w/Prod. End 1/19,"$27,789","52,029 miles"
2020 Maserati Ghibli,S Sedan,"$32,889","6,317 miles"
2022 Ford F-150,XLT SuperCab,"$31,492","26,317 miles"
2020 Audi A6,Prestige Sedan w/55 TFSI,"$27,700","58,543 miles"
2022 Dodge Challenger,R/T Coupe,"$27,000","24,917 miles"
2019 Ram 2500,Limited Mega Cab,"$43,900","69,526 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,498","54,229 miles"
Certified 2022 Toyota Tacoma,TRD Off Road Double Cab,"$37,998","35,002 miles"
Certified 2022 Toyota Corolla,LE Sedan,"$17,385","59,014 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,499","49,865 miles"
Certified 2022 Toyota RAV4,XLE 4dr SUV,"$24,452","57,579 miles"
Certified 2023 Chevrolet Tahoe,High Country 4dr SUV,"$57,500","57,682 miles"
2025 Ram 1500,Rebel Crew Cab,"$54,400","2,937 miles"
2024 Chevrolet Silverado 2500HD,LT Crew Cab,"$56,500","14,153 miles"
2020 Chevrolet Colorado,LT Crew Cab,"$21,500","111,667 miles"
2022 Chevrolet Silverado 1500 Limited,Custom Crew Cab,"$28,995","44,775 miles"
2019 Mercedes-Benz Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof","$29,990","32,142 miles"
2013 Dodge Grand Caravan,SE Passenger Minivan,"$9,485","74,752 miles"
2025 Chevrolet Silverado 1500,Custom Crew Cab,"$35,608","5,178 miles"
2019 Cadillac Escalade ESV,Base 4dr SUV,"$25,238","87,327 miles"
2007 Ford Escape,XLT 4dr SUV,"$3,999","146,110 miles"
2019 Tesla Model S,75D Sedan w/Prod. End 1/19,"$27,789","52,029 miles"
2020 Maserati Ghibli,S Sedan,"$32,889","6,317 miles"
2022 Ford F-150,XLT SuperCab,"$31,492","26,317 miles"
2020 Audi A6,Prestige Sedan w/55 TFSI,"$27,700","58,543 miles"
2022 Dodge Challenger,R/T Coupe,"$27,000","24,917 miles"
2019 Ram 2500,Limited Mega Cab,"$43,900","69,526 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,498","54,229 miles"
Certified 2022 Toyota Tacoma,TRD Off Road Double Cab,"$37,998","35,002 miles"
Certified 2022 Toyota Corolla,LE Sedan,"$17,385","59,014 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,499","49,865 miles"
Certified 2022 Toyota RAV4,XLE 4dr SUV,"$24,452","57,579 miles"
Certified 2023 Chevrolet Tahoe,High Country 4dr SUV,"$57,500","57,682 miles"
2025 Ram 1500,Rebel Crew Cab,"$54,400","2,937 miles"
2024 Chevrolet Silverado 2500HD,LT Crew Cab,"$56,500","14,153 miles"
2020 Chevrolet Colorado,LT Crew Cab,"$21,500","111,667 miles"
2022 Chevrolet Silverado 1500 Limited,Custom Crew Cab,"$28,995","44,775 miles"
2019 Mercedes-Benz Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof","$29,990","32,142 miles"
2013 Dodge Grand Caravan,SE Passenger Minivan,"$9,485","74,752 miles"
2025 Chevrolet Silverado 1500,Custom Crew Cab,"$35,608","5,178 miles"
2019 Cadillac Escalade ESV,Base 4dr SUV,"$25,238","87,327 miles"
2007 Ford Escape,XLT 4dr SUV,"$3,999","146,110 miles"
2019 Tesla Model S,75D Sedan w/Prod. End 1/19,"$27,789","52,029 miles"
2020 Maserati Ghibli,S Sedan,"$32,889","6,317 miles"
2022 Ford F-150,XLT SuperCab,"$31,492","26,317 miles"
2020 Audi A6,Prestige Sedan w/55 TFSI,"$27,700","58,543 miles"
2022 Dodge Challenger,R/T Coupe,"$27,000","24,917 miles"
2019 Ram 2500,Limited Mega Cab,"$43,900","69,526 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,498","54,229 miles"
Certified 2022 Toyota Tacoma,TRD Off Road Double Cab,"$37,998","35,002 miles"
Certified 2022 Toyota Corolla,LE Sedan,"$17,385","59,014 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,499","49,865 miles"
Certified 2022 Toyota RAV4,XLE 4dr SUV,"$24,452","57,579 miles"
Certified 2023 Chevrolet Tahoe,High Country 4dr SUV,"$57,500","57,682 miles"
2025 Ram 1500,Rebel Crew Cab,"$54,400","2,937 miles"
2024 Chevrolet Silverado 2500HD,LT Crew Cab,"$56,500","14,153 miles"
2020 Chevrolet Colorado,LT Crew Cab,"$21,500","111,667 miles"
2022 Chevrolet Silverado 1500 Limited,Custom Crew Cab,"$28,995","44,775 miles"
2019 Mercedes-Benz Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof","$29,990","32,142 miles"
2013 Dodge Grand Caravan,SE Passenger Minivan,"$9,485","74,752 miles"
2025 Chevrolet Silverado 1500,Custom Crew Cab,"$35,608","5,178 miles"
2019 Cadillac Escalade ESV,Base 4dr SUV,"$25,238","87,327 miles"
2007 Ford Escape,XLT 4dr SUV,"$3,999","146,110 miles"
2019 Tesla Model S,75D Sedan w/Prod. End 1/19,"$27,789","52,029 miles"
2020 Maserati Ghibli,S Sedan,"$32,889","6,317 miles"
2022 Ford F-150,XLT SuperCab,"$31,492","26,317 miles"
2020 Audi A6,Prestige Sedan w/55 TFSI,"$27,700","58,543 miles"
2022 Dodge Challenger,R/T Coupe,"$27,000","24,917 miles"
2019 Ram 2500,Limited Mega Cab,"$43,900","69,526 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,498","54,229 miles"
Certified 2022 Toyota Tacoma,TRD Off Road Double Cab,"$37,998","35,002 miles"
Certified 2022 Toyota Corolla,LE Sedan,"$17,385","59,014 miles"
Certified 2022 Toyota Camry,SE Sedan,"$22,499","49,865 miles"
Certified 2022 Toyota RAV4,XLE 4dr SUV,"$24,452","57,579 miles"
Certified 2023 Chevrolet Tahoe,High Country 4dr SUV,"$57,500","57,682 miles"
2025 Ram 1500,Rebel Crew Cab,"$54,400","2,937 miles"
2024 Chevrolet Silverado 2500HD,LT Crew Cab,"$56,500","14,153 miles"
2020 Chevrolet Colorado,LT Crew Cab,"$21,500","111,667 miles"
2022 Chevrolet Silverado 1500 Limited,Custom Crew Cab,"$28,995","44,775 miles"
2019 Mercedes-Benz Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof","$29,990","32,142 miles"
2013 Dodge Grand Caravan,SE Passenger Minivan,"$9,485","74,752 miles"
2025 Chevrolet Silverado 1500,Custom Crew Cab,"$35,608","5,178 miles"
2019 Cadillac Escalade ESV,Base 4dr SUV,"$25,238","87,327 miles"
2007 Ford Escape,XLT 4dr SUV,"$3,999","146,110 miles"
2019 Tesla Model S,75D Sedan w/Prod. End 1/19,"$27,789","52,029 miles"
2020 Maserati Ghibli,S Sedan,"$32,889","6,317 miles"
2022 Ford F-150,XLT SuperCab,"$31,492","26,317 miles"
2020 Audi A6,Prestige Sedan w/55 TFSI,"$27,700","58,543 miles"
